,city,date,polarity,state,text
44,Phoenix,Tue Jul 31 20:20:03 +0000 2018,-1.0,AZ,"@Jason_Tartick Becca is boring as hell anyways, luv you"
45,Parkville,Tue Jul 31 20:22:11 +0000 2018,0.31250000000000006,MD,@CObrochta33 I’m such a huge fan Connor!!
46,Danville,Tue Jul 31 20:33:36 +0000 2018,0.0,IL,The public has spoken @BachelorABC @ABCBachelorThe #TheBachelerotte #thebachelor #MakeItHappen
47,Burbank,Tue Jul 31 18:55:33 +0000 2018,0.325,CA,Wow @Jason_Tartick is SUCH a class act &amp; good dude! #GimmeAHug #IfHesTheNextBachelorImIn @BacheloretteABC #thebachelorette
48,Temecula,Tue Jul 31 21:11:18 +0000 2018,0.5,CA,"#transformationtuesday
#cousins #family #love
#coltonninaliv #7yeardifference #growingupwaytoofast @ Temecula, Cali… https://t.co/70zQ8EcvHf"
49,Grenada,Tue Jul 31 21:40:53 +0000 2018,0.0,MS,"Damn boy... This is me. I never tan. @coltonlhaynes @ Grenada, Mississippi https://t.co/1xf6N3wum2"
0,Grenada,Wed Aug 01 11:37:30 +0000 2018,0.0,MS,"@coltonlhaynes @brockohurn @DavidLCastro_ @emeraudetoubia @ Grenada, Mississippi https://t.co/02Cp9TbUOM"
1,Lake Tapps,Wed Aug 01 15:39:33 +0000 2018,0.0,WA,"Goodmorning @Jason_Tartick , just realized you lived in Seattle. What’s up?!?????!"
2,Lake Tapps,Wed Aug 01 15:40:22 +0000 2018,0.2130681818181818,WA,"Goodmorning @Jason_Tartick , just realized you live in Seattle. What’s up?!?????!"
3,Corpus Christi,Wed Aug 01 23:34:09 +0000 2018,0.0,TX,@mandajay14 @johngraham262 I’m not just some guy with tinder
4,Cheyenne,Wed Aug 01 23:52:12 +0000 2018,0.0,WY,"Idc what anyone say, @jordan__kimball is a total babe"
5,Lakeview,Wed Aug 01 23:58:13 +0000 2018,0.0,OR,Think I’m going to get to work on my application for @BachelorABC since @Jason_Tartick is def looking like a possib… https://t.co/csZ59GqFEy
